base_date,base_time,target_date,target_time,city,city_x,city_y,forecast_temp
2021-07-05,11:00:00,2021-07-05,15:00:00,busan,98,76,
2021-07-05,11:00:00,2021-07-05,15:00:00,chungbuk,69,107,
2021-07-05,11:00:00,2021-07-05,15:00:00,chungnam,68,100,
2021-07-05,11:00:00,2021-07-05,15:00:00,daegu,89,90,
2021-07-05,11:00:00,2021-07-05,15:00:00,daejeon,67,100,
2021-07-05,11:00:00,2021-07-05,15:00:00,gangwon,73,134,
2021-07-05,11:00:00,2021-07-05,15:00:00,gwangju,58,74,
2021-07-05,11:00:00,2021-07-05,15:00:00,gyeongbuk,89,91,
2021-07-05,11:00:00,2021-07-05,15:00:00,gyeonggi,60,120,
2021-07-05,11:00:00,2021-07-05,15:00:00,gyeongnam,91,77,
2021-07-05,11:00:00,2021-07-05,15:00:00,incheon,55,124,
2021-07-05,11:00:00,2021-07-05,15:00:00,jeju,52,38,
2021-07-05,11:00:00,2021-07-05,15:00:00,jeonbuk,63,89,
2021-07-05,11:00:00,2021-07-05,15:00:00,jeonnam,51,67,
2021-07-05,11:00:00,2021-07-05,15:00:00,sejong,66,103,
2021-07-05,11:00:00,2021-07-05,15:00:00,seoul,60,127,
2021-07-05,11:00:00,2021-07-05,15:00:00,ulsan,102,84,
2021-07-05,11:00:00,2021-07-05,18:00:00,busan,98,76,
2021-07-05,11:00:00,2021-07-05,18:00:00,chungbuk,69,107,
2021-07-05,11:00:00,2021-07-05,18:00:00,chungnam,68,100,
2021-07-05,11:00:00,2021-07-05,18:00:00,daegu,89,90,
2021-07-05,11:00:00,2021-07-05,18:00:00,daejeon,67,100,
2021-07-05,11:00:00,2021-07-05,18:00:00,gangwon,73,134,
2021-07-05,11:00:00,2021-07-05,18:00:00,gwangju,58,74,
2021-07-05,11:00:00,2021-07-05,18:00:00,gyeongbuk,89,91,
2021-07-05,11:00:00,2021-07-05,18:00:00,gyeonggi,60,120,
2021-07-05,11:00:00,2021-07-05,18:00:00,gyeongnam,91,77,
2021-07-05,11:00:00,2021-07-05,18:00:00,incheon,55,124,
2021-07-05,11:00:00,2021-07-05,18:00:00,jeju,52,38,
2021-07-05,11:00:00,2021-07-05,18:00:00,jeonbuk,63,89,
2021-07-05,11:00:00,2021-07-05,18:00:00,jeonnam,51,67,
2021-07-05,11:00:00,2021-07-05,18:00:00,sejong,66,103,
2021-07-05,11:00:00,2021-07-05,18:00:00,seoul,60,127,
2021-07-05,11:00:00,2021-07-05,18:00:00,ulsan,102,84,
2021-07-05,11:00:00,2021-07-05,21:00:00,busan,98,76,
2021-07-05,11:00:00,2021-07-05,21:00:00,chungbuk,69,107,
2021-07-05,11:00:00,2021-07-05,21:00:00,chungnam,68,100,
2021-07-05,11:00:00,2021-07-05,21:00:00,daegu,89,90,
2021-07-05,11:00:00,2021-07-05,21:00:00,daejeon,67,100,
2021-07-05,11:00:00,2021-07-05,21:00:00,gangwon,73,134,
2021-07-05,11:00:00,2021-07-05,21:00:00,gwangju,58,74,
2021-07-05,11:00:00,2021-07-05,21:00:00,gyeongbuk,89,91,
2021-07-05,11:00:00,2021-07-05,21:00:00,gyeonggi,60,120,
2021-07-05,11:00:00,2021-07-05,21:00:00,gyeongnam,91,77,
2021-07-05,11:00:00,2021-07-05,21:00:00,incheon,55,124,
2021-07-05,11:00:00,2021-07-05,21:00:00,jeju,52,38,
2021-07-05,11:00:00,2021-07-05,21:00:00,jeonbuk,63,89,
2021-07-05,11:00:00,2021-07-05,21:00:00,jeonnam,51,67,
2021-07-05,11:00:00,2021-07-05,21:00:00,sejong,66,103,
2021-07-05,11:00:00,2021-07-05,21:00:00,seoul,60,127,
2021-07-05,11:00:00,2021-07-05,21:00:00,ulsan,102,84,
2021-07-05,11:00:00,2021-07-06,00:00:00,busan,98,76,
2021-07-05,11:00:00,2021-07-06,00:00:00,chungbuk,69,107,
2021-07-05,11:00:00,2021-07-06,00:00:00,chungnam,68,100,
2021-07-05,11:00:00,2021-07-06,00:00:00,daegu,89,90,
2021-07-05,11:00:00,2021-07-06,00:00:00,daejeon,67,100,
2021-07-05,11:00:00,2021-07-06,00:00:00,gangwon,73,134,
2021-07-05,11:00:00,2021-07-06,00:00:00,gwangju,58,74,
2021-07-05,11:00:00,2021-07-06,00:00:00,gyeongbuk,89,91,
2021-07-05,11:00:00,2021-07-06,00:00:00,gyeonggi,60,120,
2021-07-05,11:00:00,2021-07-06,00:00:00,gyeongnam,91,77,
2021-07-05,11:00:00,2021-07-06,00:00:00,incheon,55,124,
